record_id,timestamp,api_name,endpoint,status_code,status,failure_reason,response_time_ms,cpu_usage_percent,memory_usage_percent,network_latency_ms,uptime_percent,request_count,error_count,downtime_minutes,incident_severity,server_region,predicted_health_status,failure_label
38,2026-03-17 20:13:32,Weather API,/v1/service/21,200,Success,,534.72,49.73,52.14,306.6,96.65,8032,0,0.0,Low,Singapore,Healthy,0
39,2026-03-17 20:43:32,CRM API,/v1/service/33,401,Failure,Invalid Authentication Token,728.77,50.29,61.75,1097.9,99.43,9694,48,84.03,Critical,Australia,High Risk,1
40,2026-03-17 21:13:32,Search API,/v1/service/42,200,Success,,2541.71,38.25,37.12,227.74,98.42,5274,0,0.0,Low,US-West,Stable,0
41,2026-03-17 21:43:32,GitHub API,/v1/service/15,200,Success,,75.46,69.55,81.62,271.29,99.74,2325,0,0.0,Low,India,Healthy,0
42,2026-03-17 22:13:32,Billing API,/v1/service/36,200,Success,,123.77,56.95,28.62,684.39,97.99,3013,0,0.0,Low,Europe,Stable,0
43,2026-03-17 22:43:32,Video Streaming API,/v1/service/33,200,Success,,2572.08,94.42,87.49,950.06,95.38,3774,0,0.0,Low,US-West,Stable,0
44,2026-03-17 23:13:32,User Service API,/v1/service/19,200,Success,,1702.83,20.73,51.82,307.54,97.4,5723,0,0.0,Low,Europe,Stable,0
45,2026-03-17 23:43:32,Billing API,/v1/service/9,403,Failure,Permission Denied,431.95,35.86,40.63,1065.85,99.98,8743,75,168.47,Critical,Singapore,Critical Risk,1
46,2026-03-18 00:13:32,GitHub API,/v1/service/48,400,Failure,Malformed Request Payload,356.29,33.83,27.07,65.24,96.17,7387,47,116.39,High,US-West,Likely Failure,1
47,2026-03-18 00:43:32,Billing API,/v1/service/25,401,Failure,Invalid Authentication Token,2800.09,82.88,58.96,114.9,94.71,3320,58,27.85,Critical,Australia,Likely Failure,1
48,2026-03-18 01:13:32,Stripe Payment API,/v1/service/28,401,Failure,Invalid Authentication Token,3384.52,31.16,74.75,1085.91,96.27,3242,58,100.32,Medium,India,Critical Risk,1
49,2026-03-18 01:43:32,Stripe Payment API,/v1/service/34,200,Success,,3601.06,54.38,21.08,856.45,96.74,9006,0,0.0,Low,Australia,Healthy,0
50,2026-03-18 02:13:32,Analytics API,/v1/service/44,403,Failure,Permission Denied,4541.92,71.26,29.23,1094.96,95.76,8751,49,106.27,High,Europe,Critical Risk,1
51,2026-03-18 02:43:32,Search API,/v1/service/11,201,Success,,4285.91,62.95,37.92,688.91,96.89,2812,0,0.0,Low,Singapore,Healthy,0
52,2026-03-18 03:13:32,Search API,/v1/service/43,500,Failure,Internal Server Error,2585.74,28.16,68.51,219.56,97.05,1449,10,79.79,High,US-West,Critical Risk,1
53,2026-03-18 03:43:32,OpenWeather API,/v1/service/38,200,Success,,692.61,88.79,42.57,1107.51,99.17,4896,0,0.0,Low,Singapore,Stable,0
54,2026-03-18 04:13:32,Fraud Detection API,/v1/service/24,429,Failure,API Rate Limit Exceeded,1611.04,67.93,97.12,280.91,99.16,9068,28,143.73,Critical,Australia,High Risk,1
55,2026-03-18 04:43:32,Recommendation API,/v1/service/1,503,Failure,Service Unavailable,2275.81,54.15,51.81,466.76,99.96,2825,75,81.66,Critical,Europe,Likely Failure,1
56,2026-03-18 05:13:32,Fraud Detection API,/v1/service/17,504,Failure,Gateway Timeout,1318.78,67.84,63.78,1160.81,97.95,2969,20,38.41,Medium,Singapore,High Risk,1
57,2026-03-18 05:43:32,Email Service API,/v1/service/20,200,Success,,3738.86,56.69,43.53,715.34,95.51,4558,0,0.0,Low,India,Stable,0
58,2026-03-18 06:13:32,Recommendation API,/v1/service/14,200,Success,,1172.98,42.18,45.49,369.64,95.06,2172,0,0.0,Low,Australia,Stable,0
59,2026-03-18 06:43:32,User Service API,/v1/service/7,200,Success,,2003.54,45.77,77.22,607.28,98.35,7138,0,0.0,Low,Australia,Stable,0
60,2026-03-18 07:13:32,GitHub API,/v1/service/2,400,Failure,Malformed Request Payload,1646.75,52.35,45.74,462.93,94.61,5014,44,112.04,High,Singapore,High Risk,1
61,2026-03-18 07:43:32,Recommendation API,/v1/service/5,201,Success,,4089.69,88.33,92.91,1160.22,94.74,974,0,0.0,Low,Singapore,Healthy,0
62,2026-03-18 08:13:32,Email Service API,/v1/service/22,404,Failure,Endpoint Not Found,3043.84,58.99,49.97,5.02,95.99,4023,21,63.61,Critical,Australia,Critical Risk,1
63,2026-03-18 08:43:32,Analytics API,/v1/service/44,200,Success,,1106.75,73.84,76.48,531.58,94.66,3648,0,0.0,Low,US-East,Stable,0
64,2026-03-18 09:13:32,User Service API,/v1/service/49,200,Success,,232.68,20.25,84.62,456.12,95.47,5581,0,0.0,Low,US-East,Stable,0
65,2026-03-18 09:43:32,Fraud Detection API,/v1/service/20,200,Success,,2257.8,22.97,79.92,375.18,98.91,4118,0,0.0,Low,Singapore,Stable,0
66,2026-03-18 10:13:32,CRM API,/v1/service/34,200,Success,,2160.76,88.47,49.8,916.06,97.06,5866,0,0.0,Low,Australia,Stable,0
67,2026-03-18 10:43:32,Recommendation API,/v1/service/28,401,Failure,Invalid Authentication Token,2600.47,32.12,60.27,519.59,95.98,2339,41,171.87,Medium,US-East,Critical Risk,1
68,2026-03-18 11:13:32,OpenWeather API,/v1/service/41,503,Failure,Service Unavailable,346.33,71.25,59.74,391.04,98.55,6025,49,40.45,Medium,Europe,Critical Risk,1
69,2026-03-18 11:43:32,Chat API,/v1/service/34,200,Success,,2234.31,59.24,43.14,849.95,95.11,7351,0,0.0,Low,Singapore,Healthy,0
70,2026-03-18 12:13:32,Stripe Payment API,/v1/service/41,403,Failure,Permission Denied,652.48,71.85,74.6,393.43,96.03,1393,71,91.92,High,US-West,Likely Failure,1
71,2026-03-18 12:43:32,GitHub API,/v1/service/42,403,Failure,Permission Denied,3833.44,29.09,87.26,453.86,98.54,1412,57,98.88,Medium,Australia,Likely Failure,1
72,2026-03-18 13:13:32,User Service API,/v1/service/47,503,Failure,Service Unavailable,2514.0,91.09,77.77,653.11,95.35,6652,94,123.64,Medium,Singapore,Likely Failure,1
73,2026-03-18 13:43:32,User Service API,/v1/service/50,200,Success,,1594.67,62.31,56.24,1135.47,98.09,2227,0,0.0,Low,US-East,Healthy,0
74,2026-03-18 14:13:32,User Service API,/v1/service/20,200,Success,,249.99,94.38,21.15,895.48,98.36,8942,0,0.0,Low,India,Healthy,0
75,2026-03-18 14:43:32,Inventory API,/v1/service/8,200,Success,,393.27,69.31,50.84,565.86,95.2,2415,0,0.0,Low,US-West,Healthy,0
76,2026-03-18 15:13:32,Recommendation API,/v1/service/22,200,Success,,1451.35,28.43,73.73,793.42,94.87,5822,0,0.0,Low,Australia,Healthy,0
77,2026-03-18 15:43:32,Stripe Payment API,/v1/service/41,200,Success,,2208.19,33.45,67.93,1131.06,97.47,1999,0,0.0,Low,Singapore,Healthy,0
78,2026-03-18 16:13:32,Search API,/v1/service/43,200,Success,,1648.18,10.23,46.92,724.79,95.9,6076,0,0.0,Low,US-East,Healthy,0
79,2026-03-18 16:43:32,Notification API,/v1/service/25,200,Success,,2265.95,30.94,21.36,585.68,96.39,854,0,0.0,Low,India,Healthy,0
80,2026-03-18 17:13:32,Video Streaming API,/v1/service/10,200,Success,,2480.18,28.87,86.26,1036.58,94.72,3856,0,0.0,Low,US-East,Stable,0
81,2026-03-18 17:43:32,Analytics API,/v1/service/27,200,Success,,2881.75,12.42,81.75,1078.36,97.64,6969,0,0.0,Low,Europe,Healthy,0
82,2026-03-18 18:13:32,Video Streaming API,/v1/service/22,200,Success,,232.1,76.36,56.69,1088.31,96.49,6388,0,0.0,Low,US-East,Stable,0
83,2026-03-18 18:43:32,Video Streaming API,/v1/service/35,200,Success,,3106.72,33.25,21.86,365.77,99.42,5186,0,0.0,Low,Singapore,Healthy,0
84,2026-03-18 19:13:32,Analytics API,/v1/service/3,200,Success,,3037.81,10.22,69.01,526.64,97.31,5085,0,0.0,Low,Australia,Stable,0
85,2026-03-18 19:43:32,Inventory API,/v1/service/34,503,Failure,Service Unavailable,4348.22,12.72,46.6,79.84,94.77,4238,37,4.64,High,US-West,Critical Risk,1
86,2026-03-18 20:13:32,CRM API,/v1/service/20,504,Failure,Gateway Timeout,3278.23,36.21,21.79,290.29,95.73,4775,6,42.54,High,Singapore,Likely Failure,1
87,2026-03-18 20:43:32,Fraud Detection API,/v1/service/16,429,Failure,API Rate Limit Exceeded,4160.69,80.33,91.65,1172.01,97.26,7896,43,52.77,Critical,US-East,High Risk,1
88,2026-03-18 21:13:32,Billing API,/v1/service/35,200,Success,,2956.06,53.33,42.03,1100.63,94.55,8633,0,0.0,Low,US-East,Stable,0
89,2026-03-18 21:43:32,User Service API,/v1/service/29,200,Success,,336.26,28.26,59.65,230.04,99.93,1105,0,0.0,Low,Australia,Stable,0
90,2026-03-18 22:13:32,Order API,/v1/service/40,200,Success,,607.52,37.23,78.43,733.71,98.43,4922,0,0.0,Low,India,Healthy,0
91,2026-03-18 22:43:32,Billing API,/v1/service/1,200,Success,,446.17,87.7,82.9,281.08,96.31,9591,0,0.0,Low,US-West,Stable,0
92,2026-03-18 23:13:32,Notification API,/v1/service/6,200,Success,,3644.35,88.1,29.23,262.88,96.97,8324,0,0.0,Low,Europe,Stable,0
93,2026-03-18 23:43:32,Search API,/v1/service/17,200,Success,,398.23,40.96,59.6,656.29,94.72,8072,0,0.0,Low,Australia,Healthy,0
94,2026-03-19 00:13:32,OpenWeather API,/v1/service/9,200,Success,,1432.46,52.04,52.1,1101.16,95.23,3007,0,0.0,Low,US-West,Healthy,0
95,2026-03-19 00:43:32,Stripe Payment API,/v1/service/8,200,Success,,3397.76,38.85,89.04,348.82,98.08,3738,0,0.0,Low,Australia,Healthy,0
96,2026-03-19 01:13:32,OpenWeather API,/v1/service/24,201,Success,,2269.35,28.97,25.53,430.49,97.24,4158,0,0.0,Low,Singapore,Stable,0
97,2026-03-19 01:43:32,GitHub API,/v1/service/44,200,Success,,1598.59,61.79,92.89,313.01,97.47,3933,0,0.0,Low,US-East,Stable,0
98,2026-03-19 02:13:32,Notification API,/v1/service/48,200,Success,,2043.13,61.92,28.05,763.81,98.13,8826,0,0.0,Low,Singapore,Healthy,0
99,2026-03-19 02:43:32,Chat API,/v1/service/45,200,Success,,1706.85,45.41,25.03,884.6,97.47,2961,0,0.0,Low,Singapore,Stable,0
100,2026-03-19 03:13:32,Google Maps API,/v1/service/22,200,Success,,4926.09,26.23,46.73,438.11,99.15,9075,0,0.0,Low,Europe,Stable,0
101,2026-03-19 03:43:32,User Service API,/v1/service/29,200,Success,,3967.93,81.82,57.75,327.55,97.38,6328,0,0.0,Low,Singapore,Stable,0
102,2026-03-19 04:13:32,Email Service API,/v1/service/37,200,Success,,3203.42,72.73,60.75,203.95,96.56,8338,0,0.0,Low,Singapore,Stable,0
103,2026-03-19 04:43:32,Order API,/v1/service/18,200,Success,,3987.27,36.07,56.36,964.6,95.64,1178,0,0.0,Low,Singapore,Stable,0
104,2026-03-19 05:13:32,Stripe Payment API,/v1/service/8,200,Success,,3159.48,13.02,75.19,225.64,96.53,6230,0,0.0,Low,US-East,Healthy,0
105,2026-03-19 05:43:32,Authentication API,/v1/service/9,200,Success,,4657.71,36.47,48.88,1108.1,99.7,3699,0,0.0,Low,India,Stable,0
106,2026-03-19 06:13:32,Notification API,/v1/service/20,500,Failure,Internal Server Error,4524.92,71.42,66.6,1000.66,96.03,8014,10,38.52,Medium,Australia,High Risk,1
107,2026-03-19 06:43:32,Chat API,/v1/service/29,200,Success,,238.93,81.16,42.93,282.61,97.27,8293,0,0.0,Low,Australia,Stable,0
108,2026-03-19 07:13:32,Analytics API,/v1/service/20,200,Success,,4898.5,34.06,53.23,1153.32,96.51,3383,0,0.0,Low,India,Stable,0
109,2026-03-19 07:43:32,GitHub API,/v1/service/44,200,Success,,361.73,12.63,22.98,679.89,98.32,8494,0,0.0,Low,Australia,Stable,0
110,2026-03-19 08:13:32,Order API,/v1/service/42,429,Failure,API Rate Limit Exceeded,4478.82,39.59,38.38,744.46,96.68,9266,100,166.91,High,US-West,Likely Failure,1
111,2026-03-19 08:43:32,Email Service API,/v1/service/46,200,Success,,449.71,15.57,23.34,379.93,99.16,6407,0,0.0,Low,US-East,Healthy,0
112,2026-03-19 09:13:32,Email Service API,/v1/service/6,404,Failure,Endpoint Not Found,863.52,42.4,20.18,404.55,95.15,1658,31,138.6,High,US-East,Critical Risk,1
113,2026-03-19 09:43:32,Weather API,/v1/service/9,429,Failure,API Rate Limit Exceeded,2540.6,86.8,32.51,764.11,99.63,8106,16,141.77,High,India,High Risk,1
114,2026-03-19 10:13:32,Search API,/v1/service/35,404,Failure,Endpoint Not Found,4175.49,70.57,92.99,496.03,98.29,2471,18,19.45,Medium,Australia,High Risk,1
115,2026-03-19 10:43:32,Stripe Payment API,/v1/service/27,200,Success,,3784.37,16.97,38.5,993.65,99.57,2485,0,0.0,Low,Europe,Healthy,0
116,2026-03-19 11:13:32,Video Streaming API,/v1/service/32,403,Failure,Permission Denied,977.62,87.33,65.5,1041.2,98.35,4378,91,126.72,High,US-West,Critical Risk,1
117,2026-03-19 11:43:32,Inventory API,/v1/service/26,500,Failure,Internal Server Error,4751.08,56.5,53.83,1181.73,99.66,2765,15,107.77,Medium,Europe,Critical Risk,1
118,2026-03-19 12:13:32,GitHub API,/v1/service/11,200,Success,,4951.38,62.12,73.97,682.71,95.15,2768,0,0.0,Low,Singapore,Stable,0
119,2026-03-19 12:43:32,Chat API,/v1/service/50,503,Failure,Service Unavailable,2124.81,33.58,97.54,527.14,97.35,747,52,173.15,Medium,India,High Risk,1
120,2026-03-19 13:13:32,Notification API,/v1/service/2,200,Success,,1427.15,53.84,71.26,896.3,96.94,3096,0,0.0,Low,US-East,Healthy,0
121,2026-03-19 13:43:32,Chat API,/v1/service/18,400,Failure,Malformed Request Payload,2356.94,31.03,92.11,456.5,96.61,7414,30,1.75,Medium,India,Likely Failure,1
122,2026-03-19 14:13:32,Billing API,/v1/service/3,429,Failure,API Rate Limit Exceeded,372.8,50.05,52.65,889.38,96.09,8670,34,166.12,Critical,Singapore,Critical Risk,1
123,2026-03-19 14:43:32,Video Streaming API,/v1/service/39,200,Success,,2181.25,57.19,57.0,76.12,96.2,6288,0,0.0,Low,US-West,Stable,0
124,2026-03-19 15:13:32,Authentication API,/v1/service/14,200,Success,,293.92,76.88,26.09,889.67,96.47,7890,0,0.0,Low,US-West,Stable,0
125,2026-03-19 15:43:32,Stripe Payment API,/v1/service/2,200,Success,,3508.54,82.17,77.06,1066.65,99.32,973,0,0.0,Low,US-West,Healthy,0
126,2026-03-19 16:13:32,OpenWeather API,/v1/service/48,404,Failure,Endpoint Not Found,4930.44,28.57,85.86,173.49,97.54,3820,50,46.9,Medium,Singapore,Critical Risk,1
127,2026-03-19 16:43:32,Google Maps API,/v1/service/21,200,Success,,452.24,79.23,38.19,736.7,99.9,1085,0,0.0,Low,India,Healthy,0
128,2026-03-19 17:13:32,Video Streaming API,/v1/service/10,400,Failure,Malformed Request Payload,746.98,13.61,24.13,14.34,94.51,8826,95,45.11,High,India,Critical Risk,1
129,2026-03-19 17:43:32,Recommendation API,/v1/service/11,200,Success,,4044.36,77.04,70.62,255.63,97.98,2595,0,0.0,Low,Australia,Stable,0
130,2026-03-19 18:13:32,Analytics API,/v1/service/46,200,Success,,3133.91,81.28,21.41,829.73,94.57,6166,0,0.0,Low,Singapore,Stable,0
131,2026-03-19 18:43:32,Notification API,/v1/service/13,200,Success,,1053.18,28.6,66.41,192.11,98.89,548,0,0.0,Low,Europe,Stable,0
132,2026-03-19 19:13:32,Email Service API,/v1/service/13,200,Success,,4213.78,81.52,50.52,190.09,97.3,8667,0,0.0,Low,India,Healthy,0
133,2026-03-19 19:43:32,Order API,/v1/service/18,200,Success,,775.97,85.16,85.07,635.28,94.76,321,0,0.0,Low,Europe,Healthy,0
134,2026-03-19 20:13:32,Billing API,/v1/service/2,200,Success,,4202.81,82.93,35.0,875.26,99.08,4744,0,0.0,Low,US-East,Stable,0
135,2026-03-19 20:43:32,HR API,/v1/service/1,200,Success,,4679.42,51.04,92.89,538.33,99.87,6027,0,0.0,Low,Singapore,Healthy,0
136,2026-03-19 21:13:32,Stripe Payment API,/v1/service/36,200,Success,,4272.37,48.26,39.92,1036.71,94.97,9222,0,0.0,Low,Australia,Stable,0
137,2026-03-19 21:43:32,Video Streaming API,/v1/service/48,200,Success,,1619.99,70.85,88.38,585.21,98.72,9556,0,0.0,Low,India,Stable,0
138,2026-03-19 22:13:32,Email Service API,/v1/service/36,200,Success,,4107.72,60.27,47.76,101.14,99.11,336,0,0.0,Low,Singapore,Healthy,0
139,2026-03-19 22:43:32,Chat API,/v1/service/39,503,Failure,Service Unavailable,4928.1,62.87,91.99,329.36,96.03,1882,23,152.15,Critical,Singapore,Critical Risk,1
140,2026-03-19 23:13:32,Analytics API,/v1/service/21,200,Success,,926.23,63.39,20.66,1164.05,99.76,5181,0,0.0,Low,India,Stable,0
141,2026-03-19 23:43:32,Stripe Payment API,/v1/service/41,200,Success,,1779.15,66.28,23.25,544.05,95.35,4185,0,0.0,Low,India,Stable,0
142,2026-03-20 00:13:32,Recommendation API,/v1/service/35,403,Failure,Permission Denied,4071.4,79.95,64.76,808.67,96.38,3017,46,56.1,Medium,Singapore,High Risk,1
143,2026-03-20 00:43:32,Order API,/v1/service/35,429,Failure,API Rate Limit Exceeded,2372.66,86.14,29.35,911.13,96.9,8491,74,133.58,Critical,US-East,Likely Failure,1
144,2026-03-20 01:13:32,OpenWeather API,/v1/service/3,400,Failure,Malformed Request Payload,1346.82,74.74,62.29,498.74,99.09,6181,25,71.19,Medium,Europe,High Risk,1
145,2026-03-20 01:43:32,OpenWeather API,/v1/service/14,500,Failure,Internal Server Error,3777.1,74.33,58.18,730.55,98.44,5650,72,72.38,High,India,Critical Risk,1
146,2026-03-20 02:13:32,Chat API,/v1/service/21,200,Success,,4120.46,49.48,53.34,875.3,99.92,2901,0,0.0,Low,US-East,Healthy,0
147,2026-03-20 02:43:32,Notification API,/v1/service/4,200,Success,,4149.84,94.53,80.85,968.63,97.03,9148,0,0.0,Low,US-East,Stable,0
148,2026-03-20 03:13:32,Fraud Detection API,/v1/service/13,504,Failure,Gateway Timeout,2015.84,76.09,81.85,60.33,99.65,3319,45,62.06,Medium,US-West,Likely Failure,1
149,2026-03-20 03:43:32,Weather API,/v1/service/21,403,Failure,Permission Denied,4715.74,84.65,90.82,643.23,97.58,214,77,90.34,Medium,India,Likely Failure,1
150,2026-03-20 04:13:32,Google Maps API,/v1/service/29,503,Failure,Service Unavailable,2722.69,94.78,26.65,974.46,99.72,4438,6,41.96,High,Australia,Critical Risk,1
151,2026-03-20 04:43:32,Weather API,/v1/service/45,200,Success,,166.96,25.16,64.73,1144.71,97.22,8633,0,0.0,Low,Australia,Healthy,0
152,2026-03-20 05:13:32,HR API,/v1/service/39,201,Success,,4554.88,30.53,94.8,1049.61,95.26,2227,0,0.0,Low,US-East,Stable,0
153,2026-03-20 05:43:32,Order API,/v1/service/46,200,Success,,1754.6,31.24,49.8,45.86,99.95,3034,0,0.0,Low,US-West,Stable,0
154,2026-03-20 06:13:32,Weather API,/v1/service/43,200,Success,,4280.23,41.01,74.52,5.98,98.41,6013,0,0.0,Low,US-East,Healthy,0
155,2026-03-20 06:43:32,Inventory API,/v1/service/30,401,Failure,Invalid Authentication Token,4805.92,25.77,64.52,326.95,96.06,927,13,25.31,Critical,Australia,High Risk,1
156,2026-03-20 07:13:32,Google Maps API,/v1/service/5,200,Success,,4784.64,83.55,25.18,751.38,96.05,6004,0,0.0,Low,US-East,Healthy,0
157,2026-03-20 07:43:32,Authentication API,/v1/service/11,200,Success,,2812.71,68.92,68.68,714.5,95.28,6065,0,0.0,Low,Singapore,Stable,0
158,2026-03-20 08:13:32,Google Maps API,/v1/service/49,201,Success,,1065.28,80.89,85.74,339.04,98.6,1810,0,0.0,Low,India,Healthy,0
159,2026-03-20 08:43:32,Email Service API,/v1/service/37,504,Failure,Gateway Timeout,1102.28,85.93,76.02,177.33,99.26,3709,75,94.87,Medium,Singapore,Critical Risk,1
160,2026-03-20 09:13:32,HR API,/v1/service/46,200,Success,,1344.62,21.61,33.9,310.0,99.73,5768,0,0.0,Low,Singapore,Healthy,0
161,2026-03-20 09:43:32,Stripe Payment API,/v1/service/23,200,Success,,2792.04,78.58,85.38,226.88,97.53,1279,0,0.0,Low,US-East,Stable,0
162,2026-03-20 10:13:32,Recommendation API,/v1/service/14,200,Success,,625.7,50.4,82.33,922.74,96.14,861,0,0.0,Low,Europe,Stable,0
163,2026-03-20 10:43:32,Billing API,/v1/service/33,500,Failure,Internal Server Error,3610.84,19.48,59.28,169.5,99.31,367,26,32.5,Medium,US-East,Critical Risk,1
164,2026-03-20 11:13:32,CRM API,/v1/service/25,200,Success,,1848.02,92.66,62.97,479.59,95.42,5617,0,0.0,Low,Europe,Healthy,0
165,2026-03-20 11:43:32,Google Maps API,/v1/service/48,200,Success,,4399.68,75.5,94.48,140.51,98.29,171,0,0.0,Low,Australia,Stable,0
166,2026-03-20 12:13:32,Authentication API,/v1/service/11,504,Failure,Gateway Timeout,57.27,75.72,54.63,507.63,95.49,6895,28,86.28,Critical,India,Critical Risk,1
